Name;Sweep (T1);;;
Date;1/07/2026;;;
Time;2:22:39 p. m.;;;
GPS Altitude;1020,6 m;;;
Instrument;FSH20 - 121010/030;;;
Firmware Version;V3.40;;;
Instrument Mode;Spectrum Analyzer;;;
Meas Mode;Spectrogram Playback;;;
Uplink;- - -;;;
Downlink;- - -;;;
Channel;- - -;;;
Center Frequency;875500000;Hz;;
Frequency Offset;0;Hz;;
Span;13000000;Hz;;
Ref Level;96,8;dBµV/m;;
Ref Offset;0;dB;;
Ref Position;1;;;
Range;30;dB;;
RF Attenuation;Manual;;;
RF Attenuator;0;dB;;
Pre-Amplifier;Off;;;
RF Input;50 Ω;;;
RBW;100000;Hz;;
VBW;30000;Hz;;
SWT;0,02;s;;
Trigger Mode;Free Run;;;
Trigger Level;- - -;;;
Trigger Delay;- - -;;;
Trace Mode;Clear / Write;;;
Trace Math;Off;;;
Trace Detector;RMS;;;
Primary Transducer;TSEMF-B2_typical;;;
Secondary Transducer;- - -;;;
Gated Trigger;Off;;;
Gate Mode;Edge;;;
Gate Delay;0;s;;
Gate Length;0,0004;s;;
Isotropic Antenna;On;;;
Limit Line 1;- - -;;;
Result Limit Line 1;- - -;;;
Limit Line 2;- - -;;;
Result Limit Line 2;- - -;;;
Marker 1;870011111,1;Hz;;
Marker 1 Value;77,54;dBµV/m;;
Marker 2;877000000;Hz;;
Marker 2 Value;91,02;dBµV/m;;
Marker 3;876061904,8;Hz;;
Marker 3 Value;74,24;dBµV/m;;
Marker 4;878000000;Hz;;
Marker 4 Value;69,91;dBµV/m;;

Frequency [Hz];Magnitude [dBµV/m];;;
869000000;71,7734298706055;;;
869020634,920635;71,7734298706055;;;
869041269,84127;71,3522720336914;;;
869061904,761905;73,4641571044922;;;
869082539,68254;70,1132202148438;;;
869103174,603175;70,7296981811523;;;
869123809,52381;69,9667358398438;;;
869144444,444444;71,0837097167969;;;
869165079,365079;69,3807830810547;;;
869185714,285714;70,7296981811523;;;
869206349,206349;71,2607192993164;;;
869226984,126984;72,5608062744141;;;
869247619,047619;72,8293685913086;;;
869268253,968254;72,9575500488281;;;
869288888,888889;75,0511169433594;;;
869309523,809524;76,7296371459961;;;
869330158,730159;77,4803924560547;;;
869350793,650794;78,2616653442383;;;
869371428,571429;77,5414276123047;;;
869392063,492064;81,5210418701172;;;
869412698,412698;80,9900207519531;;;
869433333,333333;81,0754699707031;;;
869453968,253968;80,5810699462891;;;
869474603,174603;78,7865829467773;;;
869495238,095238;78,0724487304688;;;
869515873,015873;75,9910888671875;;;
869536507,936508;72,3349685668945;;;
869557142,857143;74,3186721801758;;;
869577777,777778;73,4397430419922;;;
869598412,698413;70,7541122436523;;;
869619047,619048;69,7958297729492;;;
869639682,539683;72,2983474731445;;;
869660317,460317;73,7937545776367;;;
869680952,380952;76,216926574707;;;
869701587,301587;78,3898468017578;;;
869722222,222222;77,9137573242188;;;
869742857,142857;80,3857574462891;;;
869763492,063492;83,761100769043;;;
869784126,984127;85,0184631347656;;;
869804761,904762;84,5057525634766;;;
869825396,825397;83,1018981933594;;;
869846031,746032;83,3216323852539;;;
869866666,666667;81,4050750732422;;;
869887301,587302;81,3684463500977;;;
869907936,507936;79,2321548461914;;;
869928571,428571;79,5800628662109;;;
869949206,349206;79,7387619018555;;;
869969841,269841;75,4173431396484;;;
869990476,190476;75,2891616821289;;;
870011111,111111;77,5414276123047;;;
870031746,031746;76,0460205078125;;;
870052380,952381;75,5149993896484;;;
870073015,873016;75,2037124633789;;;
870093650,793651;74,9473571777344;;;
870114285,714286;76,235237121582;;;
870134920,634921;73,9829711914063;;;
870155555,555556;73,0002746582031;;;
870176190,47619;72,3715896606445;;;
870196825,396825;75,2342300415039;;;
870217460,31746;73,5557098388672;;;
870238095,238095;73,8669967651367;;;
870258730,15873;73,0063781738281;;;
870279365,079365;73,3237686157227;;;
870300000;74,7947616577148;;;
870320634,920635;74,8924255371094;;;
870341269,84127;74,2454299926758;;;
870361904,761905;72,8049545288086;;;
870382539,68254;75,710319519043;;;
870403174,603175;74,4529571533203;;;
870423809,52381;75,3746109008789;;;
870444444,444444;74,6726913452148;;;
870465079,365079;73,9707641601563;;;
870485714,285714;73,9280395507813;;;
870506349,206349;73,8059616088867;;;
870526984,126984;73,9341430664063;;;
870547619,047619;72,3288650512695;;;
870568253,968254;74,0012817382813;;;
870588888,888889;73,5496063232422;;;
870609523,809524;75,2159194946289;;;
870630158,730159;74,4529571533203;;;
870650793,650794;74,3308792114258;;;
870671428,571429;74,2637405395508;;;
870692063,492064;75,1426773071289;;;
870712698,412698;76,0032958984375;;;
870733333,333333;74,5261993408203;;;
870753968,253968;73,3542861938477;;;
870774603,174603;74,6238555908203;;;
870795238,095238;76,0155029296875;;;
870815873,015873;74,6238555908203;;;
870836507,936508;74,8985290527344;;;
870857142,857143;76,369514465332;;;
870877777,777778;77,4681854248047;;;
870898412,698413;74,9656677246094;;;
870919047,619048;73,2566299438477;;;
870939682,539683;74,7703475952148;;;
870960317,460317;74,3919219970703;;;
870980952,380952;75,5149993896484;;;
871001587,301587;76,0277099609375;;;
871022222,222222;74,6971054077148;;;
871042857,142857;76,271858215332;;;
871063492,063492;74,4224395751953;;;
871084126,984127;73,5801239013672;;;
871104761,904762;72,5058746337891;;;
871125396,825397;71,7490158081055;;;
871146031,746032;71,5475921630859;;;
871166666,666667;73,4763641357422;;;
871187301,587302;72,4631500244141;;;
871207936,507936;72,4387359619141;;;
871228571,428571;74,0806274414063;;;
871249206,349206;74,2454299926758;;;
871269841,269841;74,5384063720703;;;
871290476,190476;76,338996887207;;;
871311111,111111;74,0379028320313;;;
871331746,031746;74,7642440795898;;;
871352380,952381;75,0205993652344;;;
871373015,873016;74,9961853027344;;;
871393650,793651;75,6248626708984;;;
871414285,714286;73,4275360107422;;;
871434920,634921;72,9819641113281;;;
871455555,555556;75,5943450927734;;;
871476190,47619;75,1670913696289;;;
871496825,396825;74,6787948608398;;;
871517460,31746;74,2271194458008;;;
871538095,238095;75,814079284668;;;
871558730,15873;73,6106414794922;;;
871579365,079365;72,9697570800781;;;
871600000;74,7154159545898;;;
871620634,920635;73,9280395507813;;;
871641269,84127;74,6177520751953;;;
871661904,761905;75,3563003540039;;;
871682539,68254;74,4956817626953;;;
871703174,603175;76,314582824707;;;
871723809,52381;75,1304702758789;;;
871744444,444444;75,0205993652344;;;
871765079,365079;73,0002746582031;;;
871785714,285714;73,3542861938477;;;
871806349,206349;72,5913238525391;;;
871826984,126984;73,7632369995117;;;
871847619,047619;74,8374862670898;;;
871868253,968254;76,137580871582;;;
871888888,888889;75,9727783203125;;;
871909523,809524;75,710319519043;;;
871930158,730159;75,844596862793;;;
871950793,650794;74,2454299926758;;;
871971428,571429;74,5078887939453;;;
871992063,492064;74,6910018920898;;;
872012698,412698;74,0134887695313;;;
872033333,333333;74,3980255126953;;;
872053968,253968;74,8374862670898;;;
872074603,174603;75,734733581543;;;
872095238,095238;76,345100402832;;;
872115873,015873;73,4641571044922;;;
872136507,936508;75,4539642333984;;;
872157142,857143;75,4783782958984;;;
872177777,777778;74,6910018920898;;;
872198412,698413;74,8069686889648;;;
872219047,619048;76,0032958984375;;;
872239682,539683;74,5994415283203;;;
872260317,460317;73,7022018432617;;;
872280952,380952;75,2342300415039;;;
872301587,301587;75,0267028808594;;;
872322222,222222;74,2271194458008;;;
872342857,142857;74,4773712158203;;;
872363492,063492;76,8883361816406;;;
872384126,984127;75,637077331543;;;
872404761,904762;74,2027053833008;;;
872425396,825397;74,3125686645508;;;
872446031,746032;73,5740203857422;;;
872466666,666667;73,2016983032227;;;
872487301,587302;73,2627334594727;;;
872507936,507936;73,4397430419922;;;
872528571,428571;72,2006912231445;;;
872549206,349206;72,9575500488281;;;
872569841,269841;74,5689239501953;;;
872590476,190476;73,2444229125977;;;
872611111,111111;72,06640625;;;
