rx_id,lat,lon,distancia_2D_m,distancia_3D_m,E_medido_dBuVm,E_simulado_dBuVm,error_sim_menos_medido_dB,residual_medido_menos_simulado_dB,error_absoluto_dB,Pr_medido_equiv_dBm,Pr_simulado_dBm,Gt_dBi,PLbase_dB,Lobs_dB,Ltotal_dB,blocked
1,7.140285,-73.11631,126.16022899289,128.852021247392,73.7,71.8318518289405,-1.86814817105954,1.86814817105954,1.86814817105954,-57.9234568543017,-59.7916050253612,-9.27853226218431,88.111148302584,9,97.111148302584,1
2,7.1406,-73.116722,113.206970854032,120.402733565088,79.1,81.8200368397859,2.72003683978586,-2.72003683978586,2.72003683978586,-52.5234568543017,-49.8034200145158,-0.159266461812244,87.2422290921107,9,96.2422290921107,1
3,7.140712,-73.11733,103.195117879298,110.248230616741,89.6,90.5354465084506,0.935446508450624,-0.935446508450624,0.935446508450624,-42.0234568543017,-41.0880103458511,7.34717382957268,86.1134198852168,8.91983982961398,95.0332597148308,1
4,7.140273,-73.1178,74.7610341575605,86.849595441245,92.9,92.5850775965109,-0.314922403489149,0.314922403489149,0.314922403489149,-38.7234568543017,-39.0383792577908,6.42065215053792,83.0571069477358,9,92.0571069477358,1
5,7.141513,-73.117838,200.22394363969,202.671131655768,89.8,85.2190310427035,-4.58096895729645,4.58096895729645,4.58096895729645,-41.8234568543017,-46.4044258115981,9.62193746199068,93.9138176823031,8.71062113069276,102.624438812996,1
6,7.14176,-73.118563,258.332288682509,261.534340720187,78.9,82.0085561836087,3.10855618360867,-3.10855618360867,3.10855618360867,-52.7234568543017,-49.614900670693,9.62705376603666,97.1805541505672,8.65947582556949,105.840029976137,1
