n_logdistance,azimut_TX_deg,useBuildings,maxExtraLoss_dB,correccion_global_dB,MAE_cal_dB,RMSE_cal_dB,Bias_cal_dB,STD_cal_dB,N_cal,MAE_val_dB,RMSE_val_dB,Bias_val_dB,STD_val_dB,N_val,MAE_all_dB,RMSE_all_dB,Bias_all_dB,STD_all_dB,N_all
2,290,1,9,1.90462708277706,5.33186236233466,6.17198617650837,-3.5527136788005e-15,6.59813076239977,8,NaN,NaN,NaN,NaN,0,5.33186236233466,6.17198617650837,-3.5527136788005e-15,6.59813076239977,8
2.05,290,1,9,3.10716405724099,5.35378940903622,6.20566636392504,0,6.63413639726706,8,NaN,NaN,NaN,NaN,0,5.35378940903622,6.20566636392504,0,6.63413639726706,8
2.1,290,1,9,4.30970103170493,5.37571645573779,6.24027923554635,-1.77635683940025e-15,6.67113911348973,8,NaN,NaN,NaN,NaN,0,5.37571645573779,6.24027923554635,-1.77635683940025e-15,6.67113911348973,8
2,290,0,0,-6.90422576857563,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8,NaN,NaN,NaN,NaN,0,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8
2,290,0,3,-6.90422576857563,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8,NaN,NaN,NaN,NaN,0,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8
2,290,0,6,-6.90422576857563,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8,NaN,NaN,NaN,NaN,0,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8
2,290,0,9,-6.90422576857563,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8,NaN,NaN,NaN,NaN,0,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8
2,290,0,12,-6.90422576857563,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8,NaN,NaN,NaN,NaN,0,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8
2,290,0,15,-6.90422576857563,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8,NaN,NaN,NaN,NaN,0,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8
2,290,1,0,-6.90422576857563,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8,NaN,NaN,NaN,NaN,0,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8
2,290,1,3,-3.90422576857563,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8,NaN,NaN,NaN,NaN,0,5.52300951098198,6.24815064352179,-1.77635683940025e-15,6.67955400257419,8
2,290,1,6,-0.904225768575625,5.52300951098198,6.24815064352179,-3.5527136788005e-15,6.67955400257419,8,NaN,NaN,NaN,NaN,0,5.52300951098198,6.24815064352179,-3.5527136788005e-15,6.67955400257419,8
2.15,290,1,9,5.51223800616887,5.39764350243935,6.27580935933617,3.5527136788005e-15,6.70912241352721,8,NaN,NaN,NaN,NaN,0,5.39764350243935,6.27580935933617,3.5527136788005e-15,6.70912241352721,8
2.05,290,0,0,-5.70168879411169,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8,NaN,NaN,NaN,NaN,0,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8
2.05,290,0,3,-5.70168879411169,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8,NaN,NaN,NaN,NaN,0,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8
2.05,290,0,6,-5.70168879411169,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8,NaN,NaN,NaN,NaN,0,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8
2.05,290,0,9,-5.70168879411169,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8,NaN,NaN,NaN,NaN,0,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8
2.05,290,0,12,-5.70168879411169,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8,NaN,NaN,NaN,NaN,0,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8
2.05,290,0,15,-5.70168879411169,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8,NaN,NaN,NaN,NaN,0,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8
2.05,290,1,0,-5.70168879411169,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8,NaN,NaN,NaN,NaN,0,5.54493655768354,6.28128624833471,1.77635683940025e-15,6.71497745414947,8
