rx_id,lat,lon,distancia_2D_m,distancia_3D_m,E_medido_dBuVm,E_simulado_dBuVm,error_sim_menos_medido_dB,residual_medido_menos_simulado_dB,error_absoluto_dB,Pr_medido_equiv_dBm,Pr_simulado_dBm,Gt_dBi,PLbase_dB,Lobs_dB,Ltotal_dB,blocked
1,7.140807,-73.117425,114.202540204338,118.764389398184,67.5,76.8230497127265,9.3230497127265,-9.3230497127265,9.3230497127265,-50.8464190584549,-41.5233693457284,-1.0698258693726,54.0081705591329,9,63.0081705591329,1
2,7.141802,-73.118573,262.895715015954,265.215303053481,77.3,77.2791813696138,-0.0208186303862021,0.0208186303862021,0.0208186303862021,-41.0464190584549,-41.0672376888411,6.1768858649047,61.6420986296084,8.15665200691449,69.7987506365229,1
3,7.140902,-73.11906,227.522017596637,230.321315755283,86.9,82.0566873483811,-4.84331265161889,4.84331265161889,4.84331265161889,-31.4464190584549,-36.2897317100738,9.35080613295703,59.8809941219009,8.31417080390698,68.1951649258079,1
4,7.139772,-73.118862,168.673757819645,172.62018009781,85.3,86.9437525707529,1.64375257075294,-1.64375257075294,1.64375257075294,-33.0464190584549,-31.402666487702,8.5437008975903,53.5009944680693,9,62.5009944680693,1
5,7.139485,-73.120615,363.834273920254,365.620826648426,85.6,76.3514517671175,-9.24854823288253,9.24854823288253,9.24854823288253,-32.7464190584549,-41.9949672913374,8.34538197569353,63.894976349808,9,72.894976349808,1
6,7.140268,-73.120995,407.831755801733,409.365241612333,71.8,76.5286804069445,4.72868040694449,-4.72868040694449,4.72868040694449,-46.5464190584549,-41.8177386515104,9.55207443377087,64.9244401680583,9,73.9244401680583,1
7,7.141012,-73.11953,278.280507838029,279.736109650848,87.4,80.185230065549,-7.21476993445104,7.21476993445104,7.21476993445104,-30.9464190584549,-38.1611889929059,9.68669991884521,61.4025159945282,9,70.4025159945282,1
8,7.141888,-73.119448,330.573651169207,331.887313477542,71.1,76.7319667589147,5.6319667589147,-5.6319667589147,5.6319667589147,-47.2464190584549,-41.6144522995402,8.38484333883138,63.5539227211486,9,72.5539227211486,1
