Frecuencia,Magnitud,Unnamed: 2,Latitude,Longitude,Altitude_m,Location,Unnamed: 3,Unnamed: 4
"100057142,857143","53,9384117126465",,7.140268,-73.120995,1014.6,,,
"100061904,761905","47,962890625",,7.140268,-73.120995,1014.6,,,
"100066666,666667","54,5976142883301",,7.140268,-73.120995,1014.6,,,
"100071428,571429","49,4521942138672",,7.140268,-73.120995,1014.6,,,
"100076190,47619","55,8305625915527",,7.140268,-73.120995,1014.6,,,
"100080952,380952","56,0991249084473",,7.140268,-73.120995,1014.6,,,
"100085714,285714","55,8610801696777",,7.140268,-73.120995,1014.6,,,
"100090476,190476","59,3523979187012",,7.140268,-73.120995,1014.6,,,
"100095238,095238","52,4002799987793",,7.140268,-73.120995,1014.6,,,
100100000,"56,013671875",,7.140268,-73.120995,1014.6,,,
"100104761,904762","51,6556282043457",,7.140268,-73.120995,1014.6,,,
"100109523,809524","53,0289611816406",,7.140268,-73.120995,1014.6,,,
"100114285,714286","54,0299682617188",,7.140268,-73.120995,1014.6,,,
"100119047,619048","56,0686073303223",,7.140268,-73.120995,1014.6,,,
"100123809,52381","49,879451751709",,7.140268,-73.120995,1014.6,,,
"100128571,428571","47,9201622009277",,7.140268,-73.120995,1014.6,,,
"100133333,333333","56,1784706115723",,7.140268,-73.120995,1014.6,,,
"100138095,238095","59,2547378540039",,7.140268,-73.120995,1014.6,,,
"100142857,142857","59,0716285705566",,7.140268,-73.120995,1014.6,,,
"100147619,047619","50,6546211242676",,7.140268,-73.120995,1014.6,,,
"100152380,952381","51,5213470458984",,7.140268,-73.120995,1014.6,,,
"100157142,857143","57,3931083679199",,7.140268,-73.120995,1014.6,,,
"100161904,761905","57,3992118835449",,7.140268,-73.120995,1014.6,,,
"100166666,666667","55,8732872009277",,7.140268,-73.120995,1014.6,,,
"100171428,571429","52,9068870544434",,7.140268,-73.120995,1014.6,,,
"100176190,47619","55,8000411987305",,7.140268,-73.120995,1014.6,,,
"100180952,380952","56,3676872253418",,7.140268,-73.120995,1014.6,,,
"100185714,285714","54,8417625427246",,7.140268,-73.120995,1014.6,,,
"100190476,190476","56,7583236694336",,7.140268,-73.120995,1014.6,,,
"100195238,095238","50,5386505126953",,7.140268,-73.120995,1014.6,,,
100200000,"46,9191551208496",,7.140268,-73.120995,1014.6,,,
"100204761,904762","51,6495246887207",,7.140268,-73.120995,1014.6,,,
"100209523,809524","54,084903717041",,7.140268,-73.120995,1014.6,,,
"100214285,714286","54,127628326416",,7.140268,-73.120995,1014.6,,,
"100219047,619048","55,2201919555664",,7.140268,-73.120995,1014.6,,,
"100223809,52381","45,612964630127",,7.140268,-73.120995,1014.6,,,
"100228571,428571","55,3788871765137",,7.140268,-73.120995,1014.6,,,
"100233333,333333","52,5284576416016",,7.140268,-73.120995,1014.6,,,
"100238095,238095","58,5528106689453",,7.140268,-73.120995,1014.6,,,
"100242857,142857","54,6708564758301",,7.140268,-73.120995,1014.6,,,
"100247619,047619","52,5833930969238",,7.140268,-73.120995,1014.6,,,
"100252380,952381","47,4745941162109",,7.140268,-73.120995,1014.6,,,
"100257142,857143","45,8754234313965",,7.140268,-73.120995,1014.6,,,
"100261904,761905","56,3676872253418",,7.140268,-73.120995,1014.6,,,
"100266666,666667","54,2252883911133",,7.140268,-73.120995,1014.6,,,
"100271428,571429","57,4907684326172",,7.140268,-73.120995,1014.6,,,
"100276190,47619","57,1855812072754",,7.140268,-73.120995,1014.6,,,
"100280952,380952","55,8366661071777",,7.140268,-73.120995,1014.6,,,
"100285714,285714","56,0686073303223",,7.140268,-73.120995,1014.6,,,
"100290476,190476","53,0228576660156",,7.140268,-73.120995,1014.6,,,
"100295238,095238","55,2385025024414",,7.140268,-73.120995,1014.6,,,
100300000,"55,4582366943359",,7.140268,-73.120995,1014.6,,,
"100304761,904762","53,0777931213379",,7.140268,-73.120995,1014.6,,,
"100309523,809524","51,722770690918",,7.140268,-73.120995,1014.6,,,
"100314285,714286","53,7125778198242",,7.140268,-73.120995,1014.6,,,
"100319047,619048","53,4440155029297",,7.140268,-73.120995,1014.6,,,
"100323809,52381","58,4856719970703",,7.140268,-73.120995,1014.6,,,
"100328571,428571","55,7573165893555",,7.140268,-73.120995,1014.6,,,
"100333333,333333","51,1001930236816",,7.140268,-73.120995,1014.6,,,
"100338095,238095","53,0045471191406",,7.140268,-73.120995,1014.6,,,
"100342857,142857","55,3605766296387",,7.140268,-73.120995,1014.6,,,
"100347619,047619","54,7685165405273",,7.140268,-73.120995,1014.6,,,
"100352380,952381","57,7959518432617",,7.140268,-73.120995,1014.6,,,
"100357142,857143","60,5243072509766",,7.140268,-73.120995,1014.6,,,
"100361904,761905","56,1845741271973",,7.140268,-73.120995,1014.6,,,
"100366666,666667","54,4999542236328",,7.140268,-73.120995,1014.6,,,
"100371428,571429","52,6017036437988",,7.140268,-73.120995,1014.6,,,
"100376190,47619","51,5945930480957",,7.140268,-73.120995,1014.6,,,
"100380952,380952","54,152042388916",,7.140268,-73.120995,1014.6,,,
"100385714,285714","50,4898223876953",,7.140268,-73.120995,1014.6,,,
"100390476,190476","54,7868270874023",,7.140268,-73.120995,1014.6,,,
"100395238,095238","51,8997764587402",,7.140268,-73.120995,1014.6,,,
100400000,"54,7196884155273",,7.140268,-73.120995,1014.6,,,
"100404761,904762","51,3016128540039",,7.140268,-73.120995,1014.6,,,
"100409523,809524","52,4369010925293",,7.140268,-73.120995,1014.6,,,
"100414285,714286","52,9618225097656",,7.140268,-73.120995,1014.6,,,
"100419047,619048","54,4511260986328",,7.140268,-73.120995,1014.6,,,
"100423809,52381","54,6769599914551",,7.140268,-73.120995,1014.6,,,
"100428571,428571","55,8915977478027",,7.140268,-73.120995,1014.6,,,
"100433333,333333","53,5172576904297",,7.140268,-73.120995,1014.6,,,
"100438095,238095","54,3168449401855",,7.140268,-73.120995,1014.6,,,
"100442857,142857","56,3921012878418",,7.140268,-73.120995,1014.6,,,
"100447619,047619","55,4521331787109",,7.140268,-73.120995,1014.6,,,
"100452380,952381","54,5670967102051",,7.140268,-73.120995,1014.6,,,
"100457142,857143","53,3402519226074",,7.140268,-73.120995,1014.6,,,
"100461904,761905","51,8326377868652",,7.140268,-73.120995,1014.6,,,
"100466666,666667","56,4470367431641",,7.140268,-73.120995,1014.6,,,
"100471428,571429","56,1052284240723",,7.140268,-73.120995,1014.6,,,
"100476190,47619","55,8610801696777",,7.140268,-73.120995,1014.6,,,
"100480952,380952","49,5071258544922",,7.140268,-73.120995,1014.6,,,
"100485714,285714","54,3473625183105",,7.140268,-73.120995,1014.6,,,
"100490476,190476","57,3747978210449",,7.140268,-73.120995,1014.6,,,
"100495238,095238","53,1754493713379",,7.140268,-73.120995,1014.6,,,
100500000,"51,8387413024902",,7.140268,-73.120995,1014.6,,,
"100504761,904762","51,8753623962402",,7.140268,-73.120995,1014.6,,,
"100509523,809524","57,4114189147949",,7.140268,-73.120995,1014.6,,,
"100514285,714286","57,9424438476563",,7.140268,-73.120995,1014.6,,,
"100519047,619048","53,9689331054688",,7.140268,-73.120995,1014.6,,,
