Name;Sweep (T1);;;
Date;10/07/2026;;;
Time;8:33:21 a. m.;;;
GPS Altitude;1020,7 m;;;
Instrument;FSH20 - 121010/030;;;
Firmware Version;V3.40;;;
Instrument Mode;Spectrum Analyzer;;;
Meas Mode;Spectrogram Playback;;;
Uplink;- - -;;;
Downlink;- - -;;;
Channel;- - -;;;
Center Frequency;101500000;Hz;;
Frequency Offset;0;Hz;;
Span;3000000;Hz;;
Ref Level;89,7;dBµV/m;;
Ref Offset;0;dB;;
Ref Position;1;;;
Range;50;dB;;
RF Attenuation;Manual;;;
RF Attenuator;10;dB;;
Pre-Amplifier;Off;;;
RF Input;50 Ω;;;
RBW;30000;Hz;;
VBW;30000;Hz;;
SWT;0,02;s;;
Trigger Mode;Free Run;;;
Trigger Level;- - -;;;
Trigger Delay;- - -;;;
Trace Mode;Clear / Write;;;
Trace Math;Off;;;
Trace Detector;Max Peak;;;
Primary Transducer;HE400P-UWB;;;
Secondary Transducer;- - -;;;
Gated Trigger;Off;;;
Gate Mode;Edge;;;
Gate Delay;0;s;;
Gate Length;0,0004;s;;
Isotropic Antenna;Off;;;
Limit Line 1;- - -;;;
Result Limit Line 1;- - -;;;
Limit Line 2;- - -;;;
Result Limit Line 2;- - -;;;
Marker 1;101700000;Hz;;
Marker 1 Value;71,13;dBµV/m;;

Frequency [Hz];Magnitude [dBµV/m];;;
100000000;54,3778800964355;;;
100004761,904762;54,3717765808105;;;
100009523,809524;52,1439247131348;;;
100014285,714286;53,633228302002;;;
100019047,619048;53,1510353088379;;;
100023809,52381;53,0594787597656;;;
100028571,428571;51,0086364746094;;;
100033333,333333;60,0970497131348;;;
100038095,238095;59,700309753418;;;
100042857,142857;57,4053153991699;;;
100047619,047619;58,3025588989258;;;
100052380,952381;58,4429473876953;;;
100057142,857143;50,7400741577148;;;
100061904,761905;53,572193145752;;;
100066666,666667;51,9058799743652;;;
100071428,571429;56,1479530334473;;;
100076190,47619;55,8732872009277;;;
100080952,380952;53,3768730163574;;;
100085714,285714;55,5986213684082;;;
100090476,190476;49,3667411804199;;;
100095238,095238;51,6190071105957;;;
100100000;51,6312141418457;;;
100104761,904762;57,3503837585449;;;
100109523,809524;57,3625907897949;;;
100114285,714286;58,326976776123;;;
100119047,619048;46,5529327392578;;;
100123809,52381;47,9384727478027;;;
100128571,428571;51,9669189453125;;;
