n_logdistance,azimut_TX_deg,useBuildings,maxExtraLoss_dB,correccion_global_dB,MAE_cal_dB,RMSE_cal_dB,Bias_cal_dB,STD_cal_dB,N_cal,MAE_val_dB,RMSE_val_dB,Bias_val_dB,STD_val_dB,N_val,MAE_all_dB,RMSE_all_dB,Bias_all_dB,STD_all_dB,N_all
2,290,0,0,-1.79689420742272,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8,NaN,NaN,NaN,NaN,0,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8
2,290,0,3,-1.79689420742272,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8,NaN,NaN,NaN,NaN,0,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8
2,290,0,6,-1.79689420742272,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8,NaN,NaN,NaN,NaN,0,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8
2,290,0,9,-1.79689420742272,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8,NaN,NaN,NaN,NaN,0,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8
2,290,0,12,-1.79689420742272,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8,NaN,NaN,NaN,NaN,0,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8
2,290,0,15,-1.79689420742272,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8,NaN,NaN,NaN,NaN,0,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8
2,290,1,0,-1.79689420742272,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8,NaN,NaN,NaN,NaN,0,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8
2,290,1,3,1.20310579257728,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8,NaN,NaN,NaN,NaN,0,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8
2,290,1,6,4.20310579257728,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8,NaN,NaN,NaN,NaN,0,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8
2,290,1,9,7.20310579257728,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8,NaN,NaN,NaN,NaN,0,1.10801518303581,1.52001781053458,-3.5527136788005e-15,1.6249673910899,8
2.05,290,0,0,-0.578746632760412,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8,NaN,NaN,NaN,NaN,0,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8
2.05,290,0,3,-0.578746632760412,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8,NaN,NaN,NaN,NaN,0,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8
2.05,290,0,6,-0.578746632760412,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8,NaN,NaN,NaN,NaN,0,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8
2.05,290,0,9,-0.578746632760412,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8,NaN,NaN,NaN,NaN,0,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8
2.05,290,0,12,-0.578746632760412,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8,NaN,NaN,NaN,NaN,0,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8
2.05,290,0,15,-0.578746632760412,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8,NaN,NaN,NaN,NaN,0,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8
2.05,290,1,0,-0.578746632760412,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8,NaN,NaN,NaN,NaN,0,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8
2.05,290,1,3,2.42125336723959,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8,NaN,NaN,NaN,NaN,0,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8
2.05,290,1,6,5.42125336723959,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8,NaN,NaN,NaN,NaN,0,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8
2.05,290,1,9,8.42125336723959,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8,NaN,NaN,NaN,NaN,0,1.12705301071223,1.53225613766843,-1.77635683940025e-15,1.6380507131248,8
