rx_id,lat,lon,distancia_2D_m,distancia_3D_m,E_medido_dBuVm,E_simulado_dBuVm,error_sim_menos_medido_dB,residual_medido_menos_simulado_dB,error_absoluto_dB,Pr_medido_equiv_dBm,Pr_simulado_dBm,Gt_dBi,PLbase_dB,Lobs_dB,Ltotal_dB,blocked
1,7.141573,-73.11803,213.331272405112,216.087000502076,85.1,84.1740431915016,-0.925956808498441,0.925956808498441,0.925956808498441,-51.9599918673208,-52.8859486758193,3.90351022108436,77.9925646894809,0,77.9925646894809,0
2,7.14177,-73.118575,259.976222669585,263.740395756027,84.3,84.6977075997075,0.397707599707473,-0.397707599707473,0.397707599707473,-52.7599918673208,-52.3622842676133,6.15813487780591,79.7235249379965,0,79.7235249379965,0
3,7.14093,-73.119083,231.356256660092,235.391753245033,85.4,88.7648975780832,3.36489757808317,-3.36489757808317,3.36489757808317,-51.6599918673208,-48.2950942892376,9.23761665804053,78.7358167398555,0,78.7358167398555,0
4,7.13977,-73.118788,160.502431856964,163.17288571328,91.4,91.3652675139154,-0.0347324860846072,0.0347324860846072,0.0347324860846072,-45.6599918673208,-45.6947243534054,8.65512160339374,75.5529517493764,0,75.5529517493764,0
5,7.13961,-73.12056,356.755500982229,357.245262363381,86,84.5679802553337,-1.43201974466633,1.43201974466633,1.43201974466633,-51.0599918673208,-52.4920116119872,8.6642040241602,82.3593214287246,0,82.3593214287246,0
6,7.14029,-73.121228,433.667497791753,436.360010359519,83.8,83.6651955566584,-0.134804443341636,0.134804443341636,0.134804443341636,-53.2599918673208,-53.3947963106625,9.49898863192271,84.0968907351624,0,84.0968907351624,0
7,7.140958,-73.119512,273.63090569335,275.111109464091,89.8,87.8954527504478,-1.90454724955224,1.90454724955224,1.90454724955224,-47.2599918673208,-49.164539116873,9.72250952404538,80.0901544334957,0,80.0901544334957,0
8,7.141848,-73.11944,326.80607641352,329.455765742231,84.3,84.9694555543526,0.669455554352581,-0.669455554352581,0.669455554352581,-52.7599918673208,-52.0905363129682,8.36229201086687,81.6559341164124,0,81.6559341164124,0
