Frecuencia,Magnitud,Unnamed: 2,Latitude,Longitude,Altitude_m,Location,Unnamed: 3,Unnamed: 4
"869123809,52381","71,2240982055664",,7.140958,-73.119512,1021.5,,,
"869144444,444444","73,3237686157227",,7.140958,-73.119512,1021.5,,,
"869165079,365079","70,3817901611328",,7.140958,-73.119512,1021.5,,,
"869185714,285714","74,0684204101563",,7.140958,-73.119512,1021.5,,,
"869206349,206349","72,3777008056641",,7.140958,-73.119512,1021.5,,,
"869226984,126984","70,2352981567383",,7.140958,-73.119512,1021.5,,,
"869247619,047619","73,0674133300781",,7.140958,-73.119512,1021.5,,,
"869268253,968254","73,3970184326172",,7.140958,-73.119512,1021.5,,,
"869288888,888889","75,0267028808594",,7.140958,-73.119512,1021.5,,,
"869309523,809524","73,8731002807617",,7.140958,-73.119512,1021.5,,,
"869330158,730159","74,1172485351563",,7.140958,-73.119512,1021.5,,,
"869350793,650794","72,8293685913086",,7.140958,-73.119512,1021.5,,,
"869371428,571429","77,6024627685547",,7.140958,-73.119512,1021.5,,,
"869392063,492064","78,3349075317383",,7.140958,-73.119512,1021.5,,,
"869412698,412698","79,6105804443359",,7.140958,-73.119512,1021.5,,,
"869433333,333333","81,3196182250977",,7.140958,-73.119512,1021.5,,,
"869453968,253968","79,5129241943359",,7.140958,-73.119512,1021.5,,,
"869474603,174603","78,0358276367188",,7.140958,-73.119512,1021.5,,,
"869495238,095238","77,7977828979492",,7.140958,-73.119512,1021.5,,,
"869515873,015873","77,4742889404297",,7.140958,-73.119512,1021.5,,,
"869536507,936508","74,4773712158203",,7.140958,-73.119512,1021.5,,,
"869557142,857143","71,8161544799805",,7.140958,-73.119512,1021.5,,,
"869577777,777778","72,8537826538086",,7.140958,-73.119512,1021.5,,,
"869598412,698413","71,2851333618164",,7.140958,-73.119512,1021.5,,,
"869619047,619048","71,999267578125",,7.140958,-73.119512,1021.5,,,
"869639682,539683","71,5231781005859",,7.140958,-73.119512,1021.5,,,
"869660317,460317","72,02978515625",,7.140958,-73.119512,1021.5,,,
"869680952,380952","72,1457595825195",,7.140958,-73.119512,1021.5,,,
"869701587,301587","74,8985290527344",,7.140958,-73.119512,1021.5,,,
"869722222,222222","75,2159194946289",,7.140958,-73.119512,1021.5,,,
"869742857,142857","75,1365737915039",,7.140958,-73.119512,1021.5,,,
"869763492,063492","75,746940612793",,7.140958,-73.119512,1021.5,,,
"869784126,984127","77,6024627685547",,7.140958,-73.119512,1021.5,,,
"869804761,904762","77,0897521972656",,7.140958,-73.119512,1021.5,,,
"869825396,825397","77,9259643554688",,7.140958,-73.119512,1021.5,,,
"869846031,746032","78,8720321655273",,7.140958,-73.119512,1021.5,,,
"869866666,666667","78,1945266723633",,7.140958,-73.119512,1021.5,,,
"869887301,587302","78,6584091186523",,7.140958,-73.119512,1021.5,,,
"869907936,507936","80,8801574707031",,7.140958,-73.119512,1021.5,,,
"869928571,428571","84,261604309082",,7.140958,-73.119512,1021.5,,,
"869949206,349206","83,2239761352539",,7.140958,-73.119512,1021.5,,,
"869969841,269841","81,2036514282227",,7.140958,-73.119512,1021.5,,,
"869990476,190476","85,7325973510742",,7.140958,-73.119512,1021.5,,,
"870011111,111111","87,8444747924805",,7.140958,-73.119512,1021.5,,,
"870031746,031746","85,0489807128906",,7.140958,-73.119512,1021.5,,,
"870052380,952381","87,1364517211914",,7.140958,-73.119512,1021.5,,,
"870073015,873016","86,0744018554688",,7.140958,-73.119512,1021.5,,,
"870093650,793651","86,3979034423828",,7.140958,-73.119512,1021.5,,,
"870114285,714286","84,7804183959961",,7.140958,-73.119512,1021.5,,,
"870134920,634921","81,3928680419922",,7.140958,-73.119512,1021.5,,,
"870155555,555556","80,4773101806641",,7.140958,-73.119512,1021.5,,,
"870176190,47619","79,1100769042969",,7.140958,-73.119512,1021.5,,,
