Name,Sweep (T1),,,
Date,29/05/2026,,,
Time,04:17:30 p. m.,,,
GPS Altitude,1009 m,,,
Instrument,FSH20 - 121010/030,,,
Firmware Version,V3.40,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrogram Playback,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,470000000,Hz,,
Frequency Offset,0,Hz,,
Span,20000000,Hz,,
Ref Level,84.03,dBµV/m,,
Ref Offset,0,dB,,
Ref Position,1,,,
Range,50,dB,,
RF Attenuation,Manual,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,30000,Hz,,
VBW,10000,Hz,,
SWT,0.167,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,
Trace Math,Off,,,
Trace Detector,Max Peak,,,
Primary Transducer,TSEMF-B1_typical,,,
Secondary Transducer,- - -,,,
Gated Trigger,Off,,,
Gate Mode,Edge,,,
Gate Delay,0,s,,
Gate Length,0.0004,s,,
Isotropic Antenna,On,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,469000000,Hz,,
Marker 1 Value,78.25,dBµV/m,,

Frequency [Hz],Magnitude [dBµV/m],,,
460000000,53.7797164916992,,,
460031746.031746,53.7797164916992,,,
460063492.063492,55.1469459533691,,,
460095238.095238,54.115421295166,,,
460126984.126984,55.3361625671387,,,
460158730.15873,54.188663482666,,,
460190476.190476,54.0177612304688,,,
460222222.222222,55.1408424377441,,,
460253968.253968,53.7125778198242,,,
460285714.285714,55.0004577636719,,,
460317460.31746,53.0045471191406,,,
460349206.349206,53.621021270752,,,
460380952.380952,54.0360717773438,,,
460412698.412698,54.9394226074219,,,
460444444.444444,53.2303848266602,,,
460476190.47619,53.3097305297852,,,
460507936.507937,53.645435333252,,,
460539682.539683,56.4958648681641,,,
460571428.571429,53.7125778198242,,,
460603174.603175,55.1774635314941,,,
460634920.634921,54.9027976989746,,,
460666666.666667,55.1286354064941,,,
460698412.698413,54.7868270874023,,,
460730158.730159,54.3168449401855,,,
460761904.761905,54.5732002258301,,,
460793650.793651,54.7685165405273,,,
460825396.825397,57.2771377563477,,,
460857142.857143,55.4155082702637,,,
460888888.888889,53.7797164916992,,,
460920634.920635,55.0737037658691,,,
460952380.952381,55.5986213684082,,,
460984126.984127,54.3900871276855,,,
461015873.015873,54.7074813842773,,,
461047619.047619,52.6932601928711,,,
461079365.079365,53.7919235229492,,,
461111111.111111,54.8722801208496,,,
461142857.142857,53.5355682373047,,,
461174603.174603,53.8773765563965,,,
461206349.206349,54.2863235473633,,,
461238095.238095,52.0767860412598,,,
461269841.269841,54.3412590026855,,,
461301587.301587,53.6942672729492,,,
461333333.333333,53.3646659851074,,,
461365079.365079,54.9943542480469,,,
461396825.396825,53.5172576904297,,,
461428571.428571,53.4928436279297,,,
461460317.460317,53.1998672485352,,,
461492063.492063,53.9445190429688,,,
461523809.52381,54.4572296142578,,,
461555555.555556,55.4155082702637,,,
461587301.587302,54.6769599914551,,,
461619047.619048,54.2680130004883,,,
461650793.650794,55.3178520202637,,,
461682539.68254,53.8468589782715,,,
461714285.714286,55.0065612792969,,,
461746031.746032,54.3961906433105,,,
461777777.777778,53.3219413757324,,,
461809523.809524,53.7736129760742,,,
461841269.84127,53.4195976257324,,,
461873015.873016,53.1998672485352,,,
461904761.904762,55.0737037658691,,,
461936507.936508,55.970947265625,,,
461968253.968254,54.3961906433105,,,
462000000,53.621021270752,,,
462031746.031746,56.4775543212891,,,
462063492.063492,54.139835357666,,,
462095238.095238,53.7491989135742,,,
462126984.126984,52.8824729919434,,,
462158730.15873,53.8102340698242,,,
462190476.190476,54.8600730895996,,,
462222222.222222,53.4562225341797,,,
462253968.253968,53.2547988891602,,,
462285714.285714,54.2313919067383,,,
462317460.31746,52.9313011169434,,,
462349206.349206,56.5813179016113,,,
462380952.380952,53.3890800476074,,,
462412698.412698,54.2619094848633,,,
462444444.444444,52.4857330322266,,,
462476190.47619,54.8905906677246,,,
462507936.507937,55.7451095581055,,,
462539682.539683,53.8590660095215,,,
462571428.571429,55.5192718505859,,,
462603174.603175,54.8844871520996,,,
462634920.634921,53.3524589538574,,,
462666666.666667,54.6952743530273,,,
462698412.698413,53.9384117126465,,,
462730158.730159,54.152042388916,,,
462761904.761905,54.109317779541,,,
462793650.793651,54.4145011901855,,,
462825396.825397,53.0655860900879,,,
462857142.857143,55.0920143127441,,,
462888888.888889,53.675952911377,,,
462920634.920635,54.2374954223633,,,
462952380.952381,54.3595695495605,,,
462984126.984127,54.5793037414551,,,
463015873.015873,54.7196884155273,,,
463047619.047619,52.9557189941406,,,
463079365.079365,53.9201011657715,,,
463111111.111111,53.8590660095215,,,
463142857.142857,55.9160118103027,,,
463174603.174603,53.608814239502,,,
463206349.206349,54.2741165161133,,,
463238095.238095,53.8651695251465,,,
463269841.269841,51.2161636352539,,,
463301587.301587,53.7980270385742,,,
463333333.333333,54.4022941589355,,,
463365079.365079,55.0248718261719,,,
463396825.396825,54.091007232666,,,
463428571.428571,57.1245460510254,,,
463460317.460317,54.9882507324219,,,
463492063.492063,54.7868270874023,,,
463523809.52381,53.7064743041992,,,
463555555.555556,53.5233612060547,,,
463587301.587302,52.4369010925293,,,
463619047.619048,53.566089630127,,,
463650793.650794,54.078800201416,,,
463682539.68254,54.4938507080078,,,
463714285.714286,52.5833930969238,,,
463746031.746032,53.621021270752,,,
463777777.777778,55.9343223571777,,,
463809523.809524,55.1896743774414,,,
463841269.84127,54.3900871276855,,,
463873015.873016,54.6220283508301,,,
463904761.904762,54.4511260986328,,,
463936507.936508,54.0482788085938,,,
463968253.968254,55.1713600158691,,,
464000000,54.078800201416,,,
464031746.031746,53.645435333252,,,
464063492.063492,53.9262046813965,,,
464095238.095238,54.5976142883301,,,
464126984.126984,53.2609024047852,,,
464158730.15873,54.0177612304688,,,
464190476.190476,54.8539695739746,,,
464222222.222222,54.6708564758301,,,
464253968.253968,54.121524810791,,,
464285714.285714,54.7746200561523,,,
464317460.31746,54.5609893798828,,,
464349206.349206,54.4389152526855,,,
464380952.380952,52.9190940856934,,,
464412698.412698,54.4450225830078,,,
464444444.444444,54.6464424133301,,,
464476190.47619,53.7186813354492,,,
464507936.507936,53.8285484313965,,,
464539682.539683,54.3229484558105,,,
464571428.571429,55.4460296630859,,,
464603174.603175,52.1317176818848,,,
464634920.634921,55.1713600158691,,,
464666666.666667,54.3656730651855,,,
464698412.698413,54.7624130249023,,,
464730158.730159,55.2262954711914,,,
464761904.761905,52.8641624450684,,,
464793650.793651,54.5793037414551,,,
464825396.825397,53.3524589538574,,,
464857142.857143,54.115421295166,,,
464888888.888889,54.078800201416,,,
464920634.920635,54.5670967102051,,,
464952380.952381,53.8285484313965,,,
464984126.984127,54.0604858398438,,,
465015873.015873,52.241584777832,,,
465047619.047619,52.229377746582,,,
465079365.079365,55.2446060180664,,,
465111111.111111,54.6769599914551,,,
465142857.142857,54.8661766052246,,,
465174603.174603,53.688159942627,,,
465206349.206349,52.1012001037598,,,
465238095.238095,52.7054672241211,,,
465269841.269841,53.1388282775879,,,
465301587.301587,53.8834800720215,,,
465333333.333333,53.7247848510742,,,
465365079.365079,53.608814239502,,,
465396825.396825,53.4989471435547,,,
465428571.428571,53.608814239502,,,
465460317.460317,54.3290519714355,,,
465492063.492063,53.627124786377,,,
465523809.52381,54.5426788330078,,,
465555555.555556,54.6525459289551,,,
465587301.587302,55.3605766296387,,,
465619047.619048,53.8834800720215,,,
465650793.650794,54.3290519714355,,,
465682539.68254,55.0798072814941,,,
465714285.714286,53.8163414001465,,,
465746031.746032,54.0482788085938,,,
465777777.777778,55.0798072814941,,,
465809523.809524,53.8285484313965,,,
465841269.84127,55.4216117858887,,,
465873015.873016,53.9567260742188,,,
465904761.904762,54.8356590270996,,,
465936507.936508,55.1164283752441,,,
465968253.968254,53.1388282775879,,,
466000000,53.5111541748047,,,
466031746.031746,54.9699401855469,,,
466063492.063492,54.7074813842773,,,
466095238.095238,54.3412590026855,,,
466126984.126984,54.2985305786133,,,
466158730.15873,56.4043083190918,,,
466190476.190476,52.9862365722656,,,
466222222.222222,55.4948577880859,,,
466253968.253968,55.7390060424805,,,
466285714.285714,54.4877471923828,,,
466317460.31746,53.4134941101074,,,
466349206.349206,52.9618225097656,,,
466380952.380952,53.4318046569824,,,
466412698.412698,54.4083976745605,,,
466444444.444444,55.3300590515137,,,
466476190.47619,55.4338188171387,,,
466507936.507936,52.5101470947266,,,
466539682.539683,52.9740295410156,,,
466571428.571429,53.8834800720215,,,
466603174.603175,54.4328117370605,,,
466634920.634921,52.6871528625488,,,
466666666.666667,53.9017906188965,,,
466698412.698413,53.9750366210938,,,
466730158.730159,52.7970199584961,,,
466761904.761905,53.8956871032715,,,
466793650.793651,54.3595695495605,,,
466825396.825397,55.3361625671387,,,
466857142.857143,55.1957778930664,,,
466888888.888889,54.103214263916,,,
466920634.920635,54.091007232666,,,
466952380.952381,53.9628295898438,,,
466984126.984127,52.0401611328125,,,
467015873.015873,55.0370788574219,,,
467047619.047619,52.8946800231934,,,
467079365.079365,55.1835670471191,,,
467111111.111111,54.097110748291,,,
467142857.142857,53.9872436523438,,,
467174603.174603,54.5426788330078,,,
467206349.206349,56.4836578369141,,,
467238095.238095,55.0981178283691,,,
467269841.269841,54.8051376342773,,,
467301587.301587,53.2975234985352,,,
467333333.333333,54.7868270874023,,,
467365079.365079,54.9455261230469,,,
467396825.396825,53.2120742797852,,,
467428571.428571,53.590503692627,,,
467460317.460317,52.4002799987793,,,
467492063.492063,53.0411682128906,,,
467523809.52381,53.0655860900879,,,
467555555.555556,53.5111541748047,,,
467587301.587302,53.3402519226074,,,
467619047.619048,53.8529624938965,,,
467650793.650794,53.8651695251465,,,
467682539.68254,54.6403388977051,,,
467714285.714286,54.0238647460938,,,
467746031.746032,55.0309753417969,,,
467777777.777778,53.1022071838379,,,
467809523.809524,54.072696685791,,,
467841269.84127,55.0676002502441,,,
467873015.873016,52.4491119384766,,,
467904761.904762,54.7379989624023,,,
467936507.936508,54.9211082458496,,,
467968253.968254,53.9567260742188,,,
468000000,53.7491989135742,,,
468031746.031746,53.9017906188965,,,
468063492.063492,51.5274505615234,,,
468095238.095238,52.9923400878906,,,
468126984.126984,51.783805847168,,,
468158730.15873,53.675952911377,,,
468190476.190476,53.3890800476074,,,
468222222.222222,52.7848129272461,,,
468253968.253968,53.566089630127,,,
468285714.285714,52.6017036437988,,,
468317460.31746,52.6749458312988,,,
468349206.349206,52.8641624450684,,,
468380952.380952,53.8773765563965,,,
468412698.412698,54.4450225830078,,,
468444444.444444,53.3036270141602,,,
468476190.47619,53.8895835876465,,,
468507936.507936,54.5304718017578,,,
468539682.539683,53.639331817627,,,
468571428.571429,52.6810493469238,,,
468603174.603175,53.608814239502,,,
468634920.634921,53.7736129760742,,,
468666666.666667,54.3290519714355,,,
468698412.698413,53.651538848877,,,
468730158.730159,54.4694366455078,,,
468761904.761905,54.2191848754883,,,
468793650.793651,53.2731094360352,,,
468825396.825397,54.3961906433105,,,
468857142.857143,53.8102340698242,,,
468888888.888889,52.1378211975098,,,
468920634.920635,54.6098213195801,,,
468952380.952381,55.7145919799805,,,
468984126.984127,77.3644180297852,,,
469015873.015873,79.1406021118164,,,
469047619.047619,73.6594772338867,,,
469079365.079365,56.7644271850586,,,
469111111.111111,53.8712730407715,,,
469142857.142857,52.6627388000488,,,
469174603.174603,52.0218505859375,,,
469206349.206349,51.9486083984375,,,
469238095.238095,53.5111541748047,,,
469269841.269841,52.8397483825684,,,
469301587.301587,52.6688423156738,,,
469333333.333333,54.6830635070801,,,
469365079.365079,53.2486953735352,,,
469396825.396825,53.7919235229492,,,
469428571.428571,53.4501190185547,,,
469460317.460317,54.6281318664551,,,
469492063.492064,53.8407554626465,,,
469523809.52381,53.7491989135742,,,
469555555.555556,55.1164283752441,,,
469587301.587302,54.7685165405273,,,
469619047.619048,53.0289611816406,,,
469650793.650794,54.170352935791,,,
469682539.68254,54.2558059692383,,,
469714285.714286,55.4704437255859,,,
469746031.746032,53.5477752685547,,,
469777777.777778,54.176456451416,,,
469809523.809524,54.4389152526855,,,
469841269.84127,53.1693458557129,,,
469873015.873016,52.8946800231934,,,
469904761.904762,53.9689331054688,,,
469936507.936508,53.9811401367188,,,
469968253.968254,54.3961906433105,,,
470000000,54.3778800964355,,,
470031746.031746,53.621021270752,,,
470063492.063492,58.8579978942871,,,
470095238.095238,67.5984954833984,,,
470126984.126984,71.3705825805664,,,
470158730.15873,71.962646484375,,,
470190476.190476,71.6818771362305,,,
470222222.222222,73.1040344238281,,,
470253968.253968,71.8405685424805,,,
470285714.285714,72.9087219238281,,,
470317460.31746,76.4366607666016,,,
470349206.349206,73.9829711914063,,,
470380952.380952,75.1182556152344,,,
470412698.412698,75.2220230102539,,,
470444444.444444,70.1254272460938,,,
470476190.47619,72.1396560668945,,,
470507936.507936,74.6543807983398,,,
470539682.539683,72.2128982543945,,,
470571428.571429,74.6604843139648,,,
470603174.603175,74.5689239501953,,,
470634920.634921,73.8486862182617,,,
470666666.666667,74.6726913452148,,,
470698412.698413,74.7703475952148,,,
470730158.730159,72.02978515625,,,
470761904.761905,74.7764511108398,,,
470793650.793651,72.2067947387695,,,
470825396.825397,75.3929290771484,,,
470857142.857143,74.7154159545898,,,
470888888.888889,73.9219360351563,,,
470920634.920635,74.8619003295898,,,
470952380.952381,74.2393264770508,,,
470984126.984127,77.4620819091797,,,
471015873.015873,73.5862274169922,,,
471047619.047619,72.2373123168945,,,
471079365.079365,74.6604843139648,,,
471111111.111111,76.174201965332,,,
471142857.142857,75.6187591552734,,,
471174603.174603,74.3980255126953,,,
471206349.206349,70.9006042480469,,,
471238095.238095,74.0562133789063,,,
471269841.269841,73.1162414550781,,,
471301587.301587,75.869010925293,,,
471333333.333333,73.5984344482422,,,
471365079.365079,76.1253662109375,,,
471396825.396825,74.5506134033203,,,
471428571.428571,76.6991195678711,,,
471460317.460317,73.5068817138672,,,
471492063.492064,70.6564559936523,,,
471523809.52381,73.0429992675781,,,
471555555.555556,73.4092254638672,,,
471587301.587302,73.6716842651367,,,
471619047.619048,71.2118911743164,,,
471650793.650794,72.8598861694336,,,
471682539.68254,71.913818359375,,,
471714285.714286,72.7072982788086,,,
471746031.746032,72.4204254150391,,,
471777777.777778,73.4275360107422,,,
471809523.809524,70.7907333374023,,,
471841269.84127,73.8975219726563,,,
471873015.873016,71.3217544555664,,,
471904761.904762,71.1447525024414,,,
471936507.936508,74.8069686889648,,,
471968253.968254,75.771354675293,,,
472000000,70.7602157592773,,,
472031746.031746,69.7408981323242,,,
472063492.063492,70.7480087280273,,,
472095238.095238,70.9250183105469,,,
472126984.126984,69.0145568847656,,,
472158730.15873,71.7673263549805,,,
472190476.190476,69.1183166503906,,,
472222222.222222,70.7052841186523,,,
472253968.253968,73.2993545532227,,,
472285714.285714,70.2108840942383,,,
472317460.31746,68.6971664428711,,,
472349206.349206,70.9128112792969,,,
472380952.380952,69.4479217529297,,,
472412698.412698,69.8812866210938,,,
472444444.444444,70.6564559936523,,,
472476190.47619,69.0084533691406,,,
472507936.507936,67.1590347290039,,,
472539682.539683,68.5445709228516,,,
472571428.571429,65.9749145507813,,,
472603174.603175,68.8375473022461,,,
